customer_id,full_name,email,phone,risk_rating,kyc_status,country,onboarding_date
C60227,Maria Smith,maria.smith53@example.com,+19458487593,Low,Failed,DE,2020-08-27
C68040,John Chen,john.chen90@example.com,+15745927824,Medium,Verified,RU,07/06/2025
C25016,Wei Johnson,wei.johnson30@example.com,+14834820954,Low,Verified,BR,2020-03-28
C52580,Jon Smith,jon.smith52@example.com,+19918464397,Low,Pending,SG,2018-10-12
C86319,Li García,li.garcía34@example.com,+14562254028,Medium,Verified,US,2019-04-18
C30086,Li Garcia,li.garcia74@example.com,+16485605994,Low,Failed,TR,2022-11-23
C87593,Juan Khan,juan.khan26@example.com,+16595502506,Medium,Verified,CN,2024-01-15
C58685,Jon García,jon.garcía39@example.com,+14864283209,Low,Verified,TR,2024-12-27
C70220,Maria Garcia,maria.garcia87@example.com,+17042409028,Low,Verified,United Arab Emirates,2024-03-20
C21263,Juan Chen,juan.chen75@example.com,+13384049914,Low,Verified,NG,2024-02-23
C32296,Omar Brown,omar.brown22@example.com,+17513820624,Medium,Verified,ES,2023-09-25
C61713,Luis Garcia,luis.garcia29@example.com,+522632880459,Low,Verified,TR,2019-01-18
C96568,WEI SILVA,wei.silva81@example.com,+19380239489,Low,Pending,KP,2024-11-08
C72032,Li Doe,li.doe99@example.com,+525343290201,Low,Verified,Nigeria,2020-09-26
C29836,Ana Brown,ana.brown59@example.com,+18290594814,Medium,Verified,China,2023-03-18
C39422,Janet Silva,janet.silva71@example.com,+16978545288,Medium,Verified,TR,12/18/2022
C52583,Jon Hernandez,jon.hernandez67@example.com,+13027553177,Low,Pending,IR,2020-11-27
C29500,Janet Smith,janet.smith18@example.com,+17940091347,High,Pending,AE,2020-08-18
C16740,Jon Nakamura,jon.nakamura8@example.com,+13804502687,Low,Verified,ES,09/21/2018
C39598,LI HERNANDEZ,li.hernandez97@example.com,+15589427315,Medium,Verified,US,2024-06-16
C07652,Janet Garcia,janet.garcia44@example.com,+15427995190,Low,Verified,BR,2023-06-23
C61449,Wei García,wei.garcía76@example.com,+12116402431,Low,Pending,IR,2019-06-07
C82519,Luis Khan,luis.khan59@example.com,+19564423989,Low,Verified,DE,2023-03-07
C82661,Jane Silva,jane.silva7@example.com,+523503068227,Low,Verified,RU,2020-10-30
C75750,Ana Garcia,ana.garcia20@example.com,+18328896562,Low,Verified,MX,2018-05-08
C30988,Li Chen,li.chen78@example.com,+525085320828,High,Pending,ES,2023-03-20
C30890,JANET DOE,janet.doe87@example.com,+523611931113,High,Pending,France,06/28/2021
C40771,Jon Silva,jon.silva90@example.com,+529946948952,Medium,Pending,ES,2018-11-08
C45284,María Garcia,maría.garcia48@example.com,+14781177100,Low,Verified,GB,2024-05-07
C25723,John Doe,john.doe59@example.com,+13870403050,Low,Verified,Russia,2023-07-01
C96451,Maria Hernandez,maria.hernandez56@example.com,+524544659112,Low,Verified,SG,2024-11-27
C23522,Ana Garcia,ana.garcia73@example.com,+13627746667,Medium,Verified,BR,2018-12-21
C06298,Juan Nakamura,juan.nakamura36@example.com,+529306528570,Low,Verified,TR,2020-01-15
C02621,MOHAMED BROWN,mohamed.brown63@example.com,+17327150729,Low,Pending,US,2023-10-18
C95478,LUIS ZHANG,luis.zhang89@example.com,+19146653874,Low,Failed,KP,2023-01-10
C10444,Li Doe,li.doe90@example.com,+13316935719,Medium,Verified,CN,2021-11-09
C76904,Jon Smith,jon.smith24@example.com,+15172282824,Low,Pending,Spain,2021-07-16
C38214,LUIS HERNANDEZ,luis.hernandez30@example.com,+13298229437,Medium,Verified,CN,2024-09-10
C42294,LI DOE,li.doe17@example.com,+15233217762,Medium,Verified,Germany,2021-01-28
C85098,Omar Khan,omar.khan7@example.com,+15701071948,Low,Verified,US,2024-06-09
C99814,Wei Brown,wei.brown20@example.com,+18712344929,High,Verified,CA,2022-06-30
C24039,Juan Zhang,juan.zhang80@example.com,+14244431947,Low,Verified,BR,2019-05-01
C27449,Juan Doe,juan.doe80@example.com,+16721172230,Low,Verified,IR,2021-05-02
C95712,Janet Khan,janet.khan10@example.com,+13754569613,Medium,Verified,ES,2020-12-19
C95570,Fatima Doe,fatima.doe59@example.com,+17297514887,High,Verified,North Korea,2021-04-07
C55819,Maria García,maria.garcía35@example.com,+522306702926,Low,Verified,Spain,2022-10-08
C01562,Ana García,ana.garcía16@example.com,+17601028997,Medium,Verified,AE,2024-09-03
C18256,Ana Smith,ana.smith56@example.com,+14592930364,Medium,Verified,SG,2023-08-12
C45592,Maria Brown,maria.brown98@example.com,+17452508334,Low,Verified,BR,2025-07-24
C72362,Omar Zhang,omar.zhang75@example.com,+15497155420,Low,Verified,FR,04/12/2023
